City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
Pyaozerskiy,68,RU,1610505646,91,65.8333,31.1667,-10.52,5.48
Ilulissat,20,GL,1610505646,86,69.2167,-51.1,19.4,8.05
Quatre Cocos,75,MU,1610505646,88,-20.2078,57.7625,77.0,12.66
Mumford,0,GH,1610505646,86,5.2618,-0.759,79.03,12.19
Hong Kong,0,HK,1610505412,30,22.2855,114.1577,57.99,5.57
Cape Town,0,ZA,1610505636,78,-33.9258,18.4232,72.0,6.91
Rikitea,2,PF,1610505647,78,-23.1203,-134.9692,77.97,18.03
Thompson,90,CA,1610505647,100,55.7435,-97.8558,28.4,5.75
Provideniya,90,RU,1610505647,71,64.3833,-173.3,-0.4,8.95
Dunedin,60,NZ,1610505647,71,-45.8742,170.5036,64.9,13.11
Mataura,49,NZ,1610505647,36,-46.1927,168.8643,79.95,4.03
Ribeira Grande,9,PT,1610505647,81,38.5167,-28.7,60.73,7.38
Busselton,4,AU,1610505647,50,-33.65,115.3333,71.01,5.99
Yelan',100,RU,1610505647,96,50.949,43.7378,12.63,8.12
Bilma,0,NE,1610505648,23,18.6853,12.9164,67.14,9.46
Hilo,90,US,1610505500,69,19.7297,-155.09,78.8,5.75
Barrow,1,US,1610505648,78,71.2906,-156.7887,-2.2,25.32
Hoima,76,UG,1610505648,56,1.4356,31.3436,71.91,1.74
New Norfolk,0,AU,1610505628,29,-42.7826,147.0587,82.99,1.01
Yellowknife,20,CA,1610505648,92,62.456,-114.3525,6.01,5.75
Guéret,90,FR,1610505648,100,46.1667,1.8667,46.0,13.8
Hithadhoo,54,MV,1610505648,77,-0.6,73.0833,82.06,18.95
Albany,81,US,1610505648,68,42.6001,-73.9662,32.0,4.0
Vaini,75,TO,1610505649,79,-21.2,-175.2,84.2,11.5
Saint Paul Harbor,90,US,1610505649,86,57.79,-152.4072,33.8,10.38
Alpena,90,US,1610505649,93,45.0617,-83.4327,32.0,10.36
Longyearbyen,90,SJ,1610505649,93,78.2186,15.6401,23.0,8.05
Itarema,77,BR,1610505649,81,-2.9248,-39.9167,77.81,9.44
Doha,0,QA,1610505399,77,25.2867,51.5333,59.0,3.44
Kargasok,80,RU,1610505649,86,59.0556,80.8572,-24.75,5.06
Petrolina,87,BR,1610505422,71,-9.3986,-40.5008,76.95,7.38
Punta Arenas,75,CL,1610505373,57,-53.15,-70.9167,46.4,13.8
Gizo Government Station,95,SB,1610505650,69,-8.103,156.8419,85.62,9.93
Ambon City,40,ID,1610505418,62,-3.6954,128.1814,91.4,77.11
Port Elizabeth,90,ZA,1610505400,88,-33.918,25.5701,69.8,6.91
Boyolangu,95,ID,1610505650,74,-8.1181,111.8935,83.5,7.11
Dingle,100,PH,1610505650,78,10.9995,122.6711,78.67,12.84
Toba,0,JP,1610505650,63,34.4833,136.85,46.0,5.99
Puerto Ayora,99,EC,1610505651,93,-0.7393,-90.3518,75.0,1.99
Bethel,40,US,1610505651,80,41.3712,-73.414,32.0,3.56
Khatanga,100,RU,1610505651,87,71.9667,102.5,-21.06,6.67
Upernavik,100,GL,1610505651,95,72.7868,-56.1549,15.04,13.11
Constitución,0,CL,1610505544,70,-35.3333,-72.4167,54.5,9.53
Palmas,40,BR,1610505651,94,-10.2128,-48.3603,77.0,4.61
Butaritari,100,KI,1610505652,80,3.0707,172.7902,81.25,19.62
Mlonggo,20,ID,1610505652,74,-6.5333,110.7,84.2,3.44
Ushuaia,20,AR,1610505652,61,-54.8,-68.3,46.4,14.97
Vestmannaeyjar,100,IS,1610505652,88,63.4427,-20.2734,42.33,46.66
Hasaki,20,JP,1610505545,57,35.7333,140.8333,48.0,8.05
Cabo San Lucas,75,MX,1610505579,59,22.8909,-109.9124,64.4,4.61
Riyadh,0,SA,1610505652,46,24.6877,46.7219,46.4,2.3
Sobolevo,100,RU,1610505652,97,54.4299,31.8996,21.36,12.97
Cooma,40,AU,1610505653,26,-36.2333,149.1333,86.0,17.27
Kamenka,100,RU,1610505653,91,51.3223,42.7678,12.99,9.78
Port Alfred,90,ZA,1610505653,96,-33.5906,26.891,66.99,15.1
Pisco,40,PE,1610505653,83,-13.7,-76.2167,70.0,13.8
La Ronge,69,CA,1610505653,86,55.1001,-105.2842,19.4,1.14
São Desidério,54,BR,1610505653,87,-12.3633,-44.9733,72.37,1.66
Nikolskoye,75,RU,1610505653,85,59.7035,30.7861,7.0,17.9
Palestine,0,PS,1610505654,55,31.9216,35.2033,64.99,3.44
Grand-Santi,100,GF,1610505654,97,4.25,-54.3833,71.65,2.01
Giddalūr,92,IN,1610505654,79,15.35,78.9167,71.17,3.47
Cherskiy,7,RU,1610505654,79,68.75,161.3,-28.86,3.04
Abhā,0,SA,1610505654,70,18.2164,42.5053,44.6,3.02
Cascais,0,PT,1610505655,65,38.6979,-9.4215,45.0,3.83
Hobart,40,AU,1610505418,35,-42.8794,147.3294,82.99,10.36
Tataouine,11,TN,1610505655,53,32.9297,10.4518,46.4,5.75
Clifton Springs,96,AU,1610505655,68,-38.15,144.5667,82.0,10.36
Port Hardy,90,CA,1610505655,100,50.6996,-127.4199,44.6,3.44
Qaanaaq,100,GL,1610505655,89,77.484,-69.3632,6.01,3.78
Samarai,43,PG,1610505655,68,-10.6167,150.6667,87.44,13.09
San Rafael,0,AR,1610505656,32,-34.6177,-68.3301,71.83,7.34
Jamestown,90,US,1610505656,93,42.097,-79.2353,27.0,6.15
Mount Isa,40,AU,1610505656,38,-20.7333,139.5,95.0,9.22
Mar del Plata,0,AR,1610505400,58,-38.0023,-57.5575,64.0,6.91
Aykhal,94,RU,1610505656,82,66.0,111.5,-27.47,5.82
Saint George,1,US,1610505656,26,37.1041,-113.5841,42.01,1.81
Tessalit,100,ML,1610505656,29,20.1986,1.0114,60.71,11.21
Palmer,90,US,1610505589,80,42.1584,-72.3287,30.99,3.4
Ancud,75,CL,1610505657,87,-41.8697,-73.8203,48.99,3.44
‘Āhuimanu,20,US,1610505657,65,21.4447,-157.8378,80.6,6.91
Chui,2,UY,1610505657,69,-33.6971,-53.4616,60.06,7.0
Avarua,75,CK,1610505657,74,-21.2078,-159.775,84.2,12.66
Husavik,0,IS,1610505657,79,66.0449,-17.3389,14.0,2.3
Kimbe,97,PG,1610505657,69,-5.5502,150.1429,85.77,6.2
Atuona,60,PF,1610505658,79,-9.8,-139.0333,78.06,15.61
George Town,20,MY,1610505372,73,5.4112,100.3354,82.4,3.44
Isangel,75,VU,1610505658,84,-19.55,169.2667,86.0,4.92
Havelock,30,US,1610505658,93,34.8791,-76.9013,43.0,3.74
Praia da Vitória,40,PT,1610505658,88,38.7333,-27.0667,59.0,6.04
Bridlington,100,GB,1610505658,84,54.0831,-0.1919,32.0,1.01
Buncrana,100,IE,1610505659,94,55.1333,-7.45,40.08,5.14
Lebu,20,CL,1610505659,78,-37.6167,-73.65,53.91,17.65
Namatanai,21,PG,1610505659,64,-3.6667,152.4333,85.5,12.55
Abalak,8,RU,1610505659,85,58.1286,68.5944,-25.94,4.41
Castro,100,BR,1610505659,96,-24.7911,-50.0119,66.4,9.62
Vila Velha,75,BR,1610505659,78,-20.3297,-40.2925,78.8,5.75
Gumdag,0,TM,1610505660,83,39.2061,54.5906,36.14,17.02
East London,90,ZA,1610505660,89,-33.0153,27.9116,73.17,9.13
Ambilobe,8,MG,1610505660,93,-13.2,49.05,74.7,0.74
Marawi,100,PH,1610505660,86,7.9986,124.2928,80.01,5.99
Berlevåg,100,NO,1610505660,89,70.8578,29.0864,13.66,29.28
Cam Ranh,75,VN,1610505660,60,11.9214,109.1591,73.4,14.97
Santa Fe,0,AR,1610505447,64,-31.6333,-60.7,73.99,8.37
Deori Khās,0,IN,1610505661,40,23.4,79.0167,54.55,2.24
Nioro,0,GM,1610505661,23,13.35,-15.75,70.54,8.63
Khilok,39,RU,1610505661,83,51.3674,110.4676,-9.36,4.25
São Sebastião,88,BR,1610505661,88,-23.76,-45.4097,77.14,0.27
Manono,100,CD,1610505662,93,-7.3,27.4167,67.23,2.06
Carballo,90,ES,1610505425,100,43.213,-8.691,39.99,5.75
Luanda,92,AO,1610505662,82,-8.8368,13.2343,74.64,4.29
Iqaluit,75,CA,1610505617,71,63.7506,-68.5145,1.4,10.36
Ossora,100,RU,1610505662,79,59.2353,163.0719,1.08,1.5
Beloha,41,MG,1610505440,90,-25.1667,45.05,73.81,8.52
Inuvik,99,CA,1610505663,85,68.3499,-133.7218,1.4,2.3
Carnarvon,0,AU,1610505391,69,-24.8667,113.6333,80.6,19.57
Cururupu,100,BR,1610505663,93,-1.8283,-44.8683,75.16,2.48
Khovd,38,MN,1610505663,83,48.0056,91.6419,16.23,4.59
Qaqortoq,75,GL,1610505663,56,60.7167,-46.0333,37.4,2.3
Havre-St-Pierre,90,CA,1610505663,93,50.2334,-63.5986,19.4,2.3
Severobaykal'sk,61,RU,1610505663,78,55.65,109.3167,-13.85,4.25
Port Lincoln,9,AU,1610505583,50,-34.7333,135.8667,72.57,17.87
North Bend,90,US,1610505664,88,43.4065,-124.2243,60.8,20.71
Saskylakh,76,RU,1610505664,83,71.9167,114.0833,-29.63,6.53
Chokurdakh,8,RU,1610505664,83,70.6333,147.9167,-38.9,1.39
Nhulunbuy,40,AU,1610505665,66,-12.2333,136.7667,89.6,10.36
Bluff,9,NZ,1610505665,78,-46.6,168.3333,61.9,12.24
Huacho,100,PE,1610505665,85,-11.1067,-77.605,70.77,8.93
Bambous Virieux,75,MU,1610505665,88,-20.3428,57.7575,77.0,12.66
Denpasar,75,ID,1610505448,84,-8.65,115.2167,84.2,5.75
Klaksvík,20,FO,1610505665,86,62.2266,-6.589,28.4,1.14
Kavieng,35,PG,1610505666,70,-2.5744,150.7967,85.48,15.17
Tuktoyaktuk,1,CA,1610505666,84,69.4541,-133.0374,-4.0,14.97
Pangnirtung,59,CA,1610505666,85,66.1451,-65.7125,-6.48,2.3
Dikson,15,RU,1610505666,90,73.5069,80.5464,-14.69,7.45
Bredasdorp,99,ZA,1610505666,88,-34.5322,20.0403,68.0,11.5
Tanout,0,NE,1610505666,26,14.9709,8.8879,63.59,10.51
Seymchan,98,RU,1610505666,83,62.8833,152.4333,-27.29,0.81
Torbay,90,CA,1610505666,86,47.6666,-52.7314,30.99,8.05
Tadine,91,NC,1610505666,82,-21.55,167.8833,81.81,15.03
Sylacauga,90,US,1610505666,93,33.1732,-86.2516,32.0,2.35
Myitkyina,30,MM,1610505667,53,25.3833,97.4,68.18,3.2
Palauig,47,PH,1610505667,58,15.435,119.9045,80.19,4.09
Whitley Bay,100,GB,1610505504,86,55.0397,-1.4471,30.99,4.61
Hermanus,93,ZA,1610505667,87,-34.4187,19.2345,70.0,5.01
Ponta do Sol,75,PT,1610505667,55,32.6667,-17.1,59.0,8.05
Lüderitz,37,NA,1610505667,87,-26.6481,15.1594,64.65,7.65
Nara,20,JP,1610505667,61,34.6851,135.8049,50.0,6.91
Severo-Kuril'sk,65,RU,1610505667,85,50.6789,156.125,20.21,3.04
Wukari,0,NG,1610505668,23,7.85,9.7833,70.07,4.92
Teya,99,RU,1610505668,83,60.3778,92.6267,-24.02,2.06
Airai,69,TL,1610505668,78,-8.9266,125.4092,75.45,1.48
Samarkand,40,UZ,1610505668,64,39.6542,66.9597,35.6,4.61
Tateyama,20,JP,1610505668,58,34.9833,139.8667,51.8,6.91
Touros,40,BR,1610505668,88,-5.1989,-35.4608,77.0,2.3
Barra do Garças,71,BR,1610505415,88,-15.89,-52.2567,74.26,2.46
Lanzhou,0,CN,1610505668,42,36.0564,103.7922,19.4,4.47
Kapaa,1,US,1610505669,69,22.0752,-159.319,80.01,8.05
Kunya,0,NG,1610505669,54,12.2233,8.5325,57.2,2.3
Natal,75,BR,1610505669,94,-5.795,-35.2094,77.0,2.3
Bon Accord,1,CA,1610505669,74,53.8335,-113.4187,28.4,8.05
Leer,0,SS,1610505669,27,8.3018,30.1418,70.25,6.04
Beringovskiy,87,RU,1610505670,85,63.05,179.3167,-17.12,11.5
Erdenet,100,MN,1610505670,89,49.0333,104.0833,-3.91,3.11
Ahipara,33,NZ,1610505670,84,-35.1667,173.1667,71.44,8.01
Souillac,75,MU,1610505670,88,-20.5167,57.5167,77.0,12.66
La Palma,75,US,1610505670,67,33.8464,-118.0467,62.6,3.83
Nanortalik,100,GL,1610505670,95,60.1432,-45.2371,32.13,7.2
Bilibino,97,RU,1610505670,82,68.0546,166.4372,-22.54,4.74
Ürümqi,69,CN,1610505476,78,43.801,87.6005,1.4,6.71
Nālūt,64,LY,1610505671,61,30.3333,10.85,43.88,6.53
Sulangan,100,PH,1610505671,84,11.1373,123.7228,78.3,18.01
Waingapu,70,ID,1610505671,63,-9.6567,120.2641,87.69,5.32
Tiksi,35,RU,1610505671,81,71.6872,128.8694,-37.46,6.06
Birao,0,CF,1610505671,29,10.2849,22.7882,63.21,5.66
Shimoda,20,JP,1610505671,58,34.6667,138.95,51.8,6.91
Manowa,71,SL,1610505671,97,8.1667,-10.75,70.83,1.57
Grindavik,90,IS,1610505671,87,63.8424,-22.4338,39.2,42.57
Fairbanks,75,US,1610505389,78,64.8378,-147.7164,10.99,2.3
Tual,73,ID,1610505551,77,-5.6667,132.75,83.93,9.6
Margate,84,GB,1610505672,84,51.3813,1.3862,37.99,1.99
Strathroy,96,CA,1610505672,64,42.9551,-81.6223,28.99,1.01
Tura,29,IN,1610505672,39,25.5198,90.2201,66.24,2.1
Sitka,75,US,1610505672,87,57.0531,-135.33,35.6,10.36
Al Bardīyah,100,LY,1610505672,69,31.7561,25.0865,60.8,21.12
Shingū,20,JP,1610505672,57,33.7333,135.9833,46.4,11.5
Lakes Entrance,26,AU,1610505672,25,-37.8811,147.981,96.01,13.0
Zhigansk,100,RU,1610505673,80,66.7697,123.3711,-40.67,12.3
Hambantota,90,LK,1610505673,100,6.1241,81.1185,73.4,6.91
Nivala,100,FI,1610505673,90,63.9167,24.9667,10.22,11.41
Tuatapere,4,NZ,1610505673,48,-46.1333,167.6833,72.81,6.22
Damaturu,0,NG,1610505673,24,11.747,11.9608,65.39,8.19
Kambove,100,CD,1610505673,99,-10.8764,26.5969,61.02,1.83
Peñarroya-Pueblonuevo,0,ES,1610505673,100,38.3,-5.2667,34.0,1.14
Norman Wells,90,CA,1610505674,84,65.282,-126.8329,-11.2,6.17
Am Timan,0,TD,1610505674,26,11.0297,20.2827,64.6,5.97
Cayenne,75,GF,1610505482,100,4.9333,-52.3333,77.0,2.3
Uruaçu,94,BR,1610505674,89,-14.5247,-49.1408,71.91,0.74
Tingi,100,TZ,1610505674,93,-11.3,35.0333,63.68,3.83
Gladstone,62,AU,1610505674,54,-23.85,151.25,86.0,17.27
Nemuro,90,JP,1610505674,100,43.3236,145.575,32.0,4.61
Arraial do Cabo,62,BR,1610505674,86,-22.9661,-42.0278,75.85,23.02
Charters Towers,75,AU,1610505481,58,-20.1,146.2667,85.86,10.87
Tuy Hoa,97,VN,1610505675,79,13.0833,109.3,66.0,10.04
Saint-Philippe,75,RE,1610505675,89,-21.3585,55.7679,78.8,3.44
Menongue,100,AO,1610505675,94,-14.6585,17.691,63.75,3.62
Banda Aceh,100,ID,1610505675,73,5.5577,95.3222,81.95,10.65
Erenhot,100,CN,1610505675,87,43.6475,111.9767,2.53,3.2
Kaitangata,100,NZ,1610505675,77,-46.2817,169.8464,64.99,11.99
Hafizabad,0,PK,1610505675,49,32.0679,73.6854,46.33,2.66
Soyo,66,AO,1610505676,78,-6.1349,12.3689,77.77,8.68
Saint-Joseph,75,RE,1610505676,89,-21.3667,55.6167,78.8,3.44
Derzhavīnsk,43,KZ,1610505676,88,51.1,66.3167,-15.09,3.13
Sicamous,100,CA,1610505436,93,50.8331,-118.9856,39.99,2.3
Daoukro,0,CI,1610505676,95,7.0591,-3.9631,71.56,2.04
Meulaboh,47,ID,1610505676,67,4.1363,96.1285,83.08,1.66
Pringsewu,100,ID,1610505676,85,-5.3582,104.9744,77.0,3.74
Olafsvik,100,IS,1610505676,81,64.8945,-23.7142,37.58,24.56
Yarensk,59,RU,1610505677,86,62.1675,49.0916,-16.04,3.76
Beyneu,84,KZ,1610505677,94,45.3167,55.2,23.63,13.78
Camopi,99,GF,1610505677,98,3.1655,-52.3158,71.33,1.79
Simpang,100,ID,1610505677,97,-1.2667,104.0833,74.44,3.0
Sioux Lookout,20,CA,1610505593,93,50.1001,-91.917,21.2,6.91
Assiniboia,100,CA,1610505677,80,49.6334,-105.9845,30.2,4.61
Måløy,75,NO,1610505677,64,61.9353,5.1136,34.0,17.27
Aksu,1,CN,1610505677,74,41.1231,80.2644,15.17,1.72
Novopavlovka,68,RU,1610505677,85,51.2172,109.2091,-10.25,2.64
Saint Anthony,1,US,1610505678,86,45.0205,-93.218,33.8,3.44
Zaysan,100,KZ,1610505612,95,47.4667,84.8667,19.99,3.8
Cabo Rojo,8,PR,1610505678,87,18.0866,-67.1457,75.0,1.01
Urubichá,84,BO,1610505678,91,-15.3833,-62.95,74.68,0.34
Green Valley,0,US,1610505385,28,31.8543,-110.9937,50.0,3.65
Tikrit,0,IQ,1610505678,48,34.6071,43.6782,51.06,1.1
Amapá,50,BR,1610505678,98,1.0,-52.0,71.74,2.3
Leningradskiy,100,RU,1610505678,87,69.3833,178.4167,-17.28,16.91
Yumen,31,CN,1610505679,58,40.2833,97.2,28.96,18.99
Koulamoutou,100,GA,1610505679,93,-1.1303,12.4736,72.45,1.34
Faya,0,SA,1610505679,70,18.3851,42.4509,44.6,2.82
Temozon,51,MX,1610505679,96,20.8,-88.2167,68.31,3.47
Binga,100,ZW,1610505679,89,-17.6203,27.3414,72.19,0.34
Oneonta,99,US,1610505679,85,42.4529,-75.0638,28.99,1.01
Mossamedes,100,AO,1610505679,76,-15.1961,12.1522,71.15,5.55
Mount Gambier,97,AU,1610505679,41,-37.8333,140.7667,77.0,11.5
Āsosa,0,ET,1610505679,41,10.0667,34.5333,60.4,5.19
Tasiilaq,90,GL,1610505679,86,65.6145,-37.6368,30.2,43.73
Mahon,0,ES,1610505680,81,39.8885,4.2658,44.6,8.05
Laguna,90,US,1610505680,67,38.421,-121.4238,55.99,0.87
Waipawa,95,NZ,1610505680,57,-41.4122,175.5153,75.99,18.41
Esperance,90,AU,1610505680,59,-33.8667,121.9,66.2,19.57
Örnsköldsvik,90,SE,1610505680,100,63.2909,18.7153,23.0,11.5
Portland,90,US,1610505048,82,45.5234,-122.6762,59.0,16.11
Moose Factory,90,CA,1610505680,93,51.2585,-80.6094,24.8,8.05
Talnakh,100,RU,1610505680,89,69.4865,88.3972,-7.44,5.48
Bawku,0,GH,1610505680,19,11.0616,-0.2417,71.62,8.77
Dali,93,CN,1610505681,69,25.7,100.1833,44.83,1.12
Shīeli,93,KZ,1610505681,98,44.1667,66.75,23.52,1.95
Eureka,100,US,1610505681,91,40.8021,-124.1637,59.0,5.99
Ranfurly,77,NZ,1610505681,76,-45.1333,170.1,66.99,4.38
Behshahr,0,IR,1610505681,64,36.6923,53.5526,45.99,3.04
Lompoc,75,US,1610505675,87,34.6391,-120.4579,51.8,4.61
Sirpur,6,IN,1610505681,43,19.4833,79.6,68.99,4.59
Novyi Yarychiv,75,UA,1610505681,93,49.9044,24.3052,26.6,4.47
São Miguel do Araguaia,98,BR,1610505561,76,-13.275,-50.1628,75.6,2.39
Pangkalanbuun,100,ID,1610505473,78,-2.6833,111.6167,83.21,4.03
Calvinia,0,ZA,1610505682,61,-31.4707,19.776,70.77,4.43
Tangwani,95,PK,1610505682,81,28.2787,68.9972,41.0,5.79
Vao,86,NC,1610505682,85,-22.6667,167.4833,78.26,21.47
Marystown,100,CA,1610505682,94,47.1666,-55.1483,30.92,3.78
Chukhloma,75,RU,1610505682,89,58.7525,42.6825,-17.99,4.59
Manggar,100,ID,1610505682,91,-2.8833,108.2667,77.22,10.27
Homer,75,US,1610505682,70,59.6425,-151.5483,37.4,5.75
Nyuksenitsa,43,RU,1610505683,88,60.4128,44.2397,-16.76,3.8
Nishihara,40,JP,1610505683,51,26.1842,127.7558,60.8,9.22
